event,x,y,speed,button,time,scroll,session_id
click_press,984,501,,Button.left,1736581563.4480312,,1736581533
move,984,503,80.23230101191729,,1736581563.4669807,,1736581533
move,984,504,66.84788983807216,,1736581563.48194,,1736581533
move,984,504,0.0,,1736581563.486928,,1736581533
click_release,984,504,,Button.left,1736581563.4879239,,1736581533
move,984,510,501.52103469578907,,1736581563.4978964,,1736581533
move,983,518,621.7467074119218,,1736581563.5108635,,1736581533
move,981,526,2756.1651793689784,,1736581563.5138555,,1736581533
move,980,533,590.777419377288,,1736581563.5258245,,1736581533
move,981,534,24.8774990207593,,1736581563.5836675,,1736581533
move,984,534,66.84717957435957,,1736581563.6275501,,1736581533
move,984,533,125.31532715864954,,1736581563.636527,,1736581533
move,984,532,31.329767844871373,,1736581563.6674485,,1736581533
move,985,532,28.650595990300214,,1736581563.7023518,,1736581533
move,985,532,0.0,,1736581563.7761526,,1736581533
click_press,985,532,,Button.left,1736581563.7771506,,1736581533
move,987,532,401.1960399827825,,1736581563.7801414,,1736581533
move,989,532,222.79315839796027,,1736581563.7901156,,1736581533
move,990,532,66.84575909221304,,1736581563.804078,,1736581533
move,990,532,0.0,,1736581563.8379881,,1736581533
click_release,990,532,,Button.left,1736581563.8389864,,1736581533
move,989,532,45.60463624403344,,1736581563.8599288,,1736581533
move,987,532,1001.8640869461364,,1736581563.861924,,1736581533
move,985,532,154.27325057471265,,1736581563.874888,,1736581533
move,985,531,16.170311855441568,,1736581563.9367235,,1736581533
move,985,526,151.8673917923688,,1736581563.9696345,,1736581533
move,985,523,1518.5749456915278,,1736581563.9716294,,1736581533
move,985,520,1002.3030109925123,,1736581563.9746208,,1736581533
move,985,515,557.0716676406524,,1736581563.9826,,1736581533
move,987,506,9244.459047430406,,1736581563.9845946,,1736581533
move,991,497,3291.562045697578,,1736581563.9865894,,1736581533
move,996,492,644.4074397613987,,1736581563.9985626,,1736581533
move,998,483,462.1235234518199,,1736581564.0185046,,1736581533
move,1008,471,15749.308392622106,,1736581564.0195012,,1736581533
